Date,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,ILS,INR
2022-04-13,1.0826025765941323,0.7413447994662318,0.5535259603675412,0.2145922746781116,0.7902015013828526,1.0702054794520548,0.1570376419227689,0.044278155372047205,0.14555617012605165,1.2998830105290524,0.12756403714664763,0.14331780723754928,0.3112549800796813,0.013125926198167357
2022-04-12,1.0861301183881829,0.7439369141496801,0.5553087516659263,0.21319688732544503,0.7913896802785692,1.0720411663807892,0.15695383987569256,0.04442134534486511,0.14602164040710833,1.3014055179593962,0.12760798826006509,0.1438290160657011,0.3105590062111801,0.013128493820417959
2022-04-11,1.090037061260083,0.7438262421898244,0.5573204034999721,0.21144331204803993,0.7933989209774674,1.0707784559374667,0.15704997330150455,0.04461915321771023,0.14655450361989622,1.3024225058609011,0.12757542897237992,0.14433555128963815,0.31134219620785203,0.013178807423358644
2022-04-10,1.0861301183881829,0.7463800567248843,0.5553087516659263,0.21055291194677225,0.7942180922881422,1.06951871657754,0.15714375510717205,0.04436872182586164,0.14603656755651614,1.3029315960912053,0.12757542897237992,0.14387247144131443,0.3102218085931441,0.013182577378433568
2022-04-09,1.0861301183881829,0.7463800567248843,0.5553087516659263,0.21055291194677225,0.7942180922881422,1.06951871657754,0.15714375510717205,0.04436872182586164,0.14603656755651614,1.3029315960912053,0.12757542897237992,0.14387247144131443,0.3102218085931441,0.013182577378433568
2022-04-08,1.0861301183881829,0.7463800567248843,0.5553087516659263,0.21055291194677225,0.7942180922881422,1.06951871657754,0.15714375510717205,0.04436872182586164,0.14603656755651614,1.3029315960912053,0.12757542897237992,0.14387247144131443,0.3102218085931441,0.013182577378433568
2022-04-07,1.0915838882218099,0.7487832272557096,0.5581291510855612,0.21212506894064742,0.7965588657001752,1.0718113612004287,0.15718327569946558,0.044533313144898036,0.1467631389700163,1.3080444735120995,0.12759170653907495,0.14446483003712746,0.30959752321981426,0.013159574314090088
2022-04-06,1.0922992900054616,0.7568876778686043,0.5585032113934655,0.21419238760254458,0.800384184408516,1.0722710701265281,0.15717092337917485,0.04469133926536377,0.14685797365367953,1.308557969118032,0.12758031180628207,0.14473246204391182,0.3103180760279286,0.01318655815008413
2022-04-05,1.0968520346605244,0.7631257631257631,0.5608524957936063,0.21770840136720876,0.8037939072421831,1.0816657652785289,0.15718821717124085,0.04506940688660537,0.14747739908858967,1.3138877939823939,0.12766989671505355,0.14547993831650616,0.31204168876961963,0.013274042609676778
2022-04-04,1.1004732034774953,0.7511454968827462,0.5626828719333784,0.21510002151000215,0.8004482510205715,1.07863229425089,0.1571561031572661,0.045250916331055706,0.14794650254467984,1.3118194936376755,0.12762916071063915,0.14584913365614607,0.3116526942375417,0.013240210519347257
2022-04-03,1.1052166224580018,0.7520493344363389,0.5650994575045207,0.21177467174925876,0.8005764150188135,1.081782778018174,0.15718821717124085,0.04533975344242078,0.1485729567504123,1.3133701076963489,0.1276275318111623,0.14604509872648674,0.31295965949989046,0.013159539679302019
2022-04-02,1.1052166224580018,0.7520493344363389,0.5650994575045207,0.21177467174925876,0.8005764150188135,1.081782778018174,0.15718821717124085,0.04533975344242078,0.1485729567504123,1.3133701076963489,0.1276275318111623,0.14604509872648674,0.31295965949989046,0.013159539679302019
2022-04-01,1.1052166224580018,0.7520493344363389,0.5650994575045207,0.21177467174925876,0.8005764150188135,1.081782778018174,0.15718821717124085,0.04533975344242078,0.1485729567504123,1.3133701076963489,0.1276275318111623,0.14604509872648674,0.31295965949989046,0.013159539679302019
2022-03-31,1.1101243339253997,0.7486150621350501,0.567601316835055,0.2094153124476462,0.7988496564946477,1.0811979673478214,0.1576789656259855,0.045542525333029715,0.14924927614101072,1.3123359580052494,0.12771881425852843,0.14656739168669755,0.31498047121078493,0.013194422453740357
2022-03-30,1.1125945705384956,0.7513148009015778,0.5688605722737357,0.21068599359514578,0.8009611533840609,1.0792143319663285,0.15744560254432094,0.045505014652614716,0.14956178397295922,1.3157894736842106,0.1277661368630858,0.14693565687585405,0.31430726678400805,0.01318558446421696
2022-03-29,1.108524553818867,0.749232037161909,0.5667649059170257,0.2114075514777388,0.79923273657289,1.069747539580659,0.15712153350616703,0.04531140261446793,0.149015750964877,1.3126804935678655,0.12775634310243503,0.14621165599321578,0.3122073056509522,0.013201372414676229
2022-03-28,1.096611470555982,0.7515971439308531,0.5606952621250351,0.21034475505353273,0.8003201280512204,1.0691756655618518,0.15696615809631442,0.044486756292651676,0.1474056603773585,1.3111315064901008,0.12771881425852843,0.14479533179850282,0.310539718029936,0.013135685058815029
2022-03-27,1.1002310485201892,0.7523322299127295,0.5625246104517072,0.20903010033444816,0.7983394539358135,1.0779346771585643,0.1571561031572661,0.04464186067275284,0.14786774708700537,1.3194352816994326,0.12775634310243503,0.14523273545857235,0.31122591889452556,0.01312520262031545
2022-03-26,1.1002310485201892,0.7523322299127295,0.5625246104517072,0.20903010033444816,0.7983394539358135,1.0779346771585643,0.1571561031572661,0.04464186067275284,0.14786774708700537,1.3194352816994326,0.12775634310243503,0.14523273545857235,0.31122591889452556,0.01312520262031545
2022-03-25,1.1002310485201892,0.7523322299127295,0.5625246104517072,0.20903010033444816,0.7983394539358135,1.0779346771585643,0.1571561031572661,0.04464186067275284,0.14786774708700537,1.3194352816994326,0.12775634310243503,0.14523273545857235,0.31122591889452556,0.01312520262031545
2022-03-24,1.0978153474585575,0.7484469725319961,0.5612932195779075,0.2069108214359611,0.7951653944020356,1.0736525660296328,0.15697847825063183,0.04440931174448658,0.1475600938482197,1.3180440226703571,0.12780369352674292,0.14493383770308854,0.3095783542814686,0.013087908866272981
2022-03-23,1.0985389432055366,0.7458790184232118,0.5616715344866322,0.2037905033625433,0.7937137868084768,1.069747539580659,0.15692182154850454,0.044645448173331485,0.14768649111665758,1.3190871916633689,0.1278102273743945,0.14509365795621074,0.3102506825515016,0.013082446888536244
2022-03-22,1.1024142872891634,0.7447680047665153,0.5636660842117129,0.20375313270441534,0.7949757532395262,1.0728462611307799,0.15717833453836724,0.0446695791232255,0.14816790386866396,1.3245033112582782,0.12776287210936502,0.14553075064761184,0.3103469679101235,0.013137186382518084
2022-03-21,1.1037527593818983,0.7409602845287493,0.5643659348721711,0.20061790314167635,0.7942180922881422,1.073998496402105,0.1573440327275588,0.044719119212228,0.14833934107664695,1.3175230566534915,0.12777429947740312,0.1457492238853828,0.309731772285201,0.013111830804935293
